ER____Aur            1  78.29159532  41.99052346 165.48500604   1.72078488  8.036  0.220   0.0787  0.0757  -0.2973  0.0544 -0.0792   8.179  1.739
IN____Aur            1  78.86327303  37.37246028 169.48940668  -0.62191471  6.662  0.231   0.1192  0.0583  -0.5175  0.0401 -0.0952 -25.906  5.295
V432__Ori            0  79.69991940  13.98667361 189.36685241 -13.26404701  4.803  0.148   2.4802  0.0663  -1.3707  0.0521  0.1006  95.131 10.817
J052333.55+444536.5  1  80.88983067  44.76007586 164.29823553   4.85620853  5.358  0.196   0.5741  0.0689   0.1308  0.0583  0.0920 -18.502  5.226
J081.1501+28.5252    1  81.15014913  28.52523599 177.85519529  -4.09948777  6.065  0.178   0.2486  0.0923  -0.5579  0.0630 -0.2780  -0.963  2.607
J052610+1151.3       1  81.54016030  11.85366272 192.20137047 -12.88553359  3.134  0.091   0.9731  0.1782   0.5419  0.1173 -0.1762  50.704 10.601
V1256_Tau            1  81.77704319  16.93642588 187.93470970  -9.98676270 10.496  0.365   0.4746  0.0776  -0.5532  0.0574 -0.2713  32.009  7.609
J082.3588+27.0008    1  82.35887429  27.00089365 179.72148018  -4.05397983  4.175  0.143   0.4063  0.0861  -1.0810  0.0653 -0.0331  23.264  7.544
J083.0327+41.8842    1  83.03275022  41.88425367 167.56772947   4.57084861  4.624  0.142   0.4359  0.0864  -0.1571  0.0607 -0.2979   4.452  2.215
IW____Aur            1  83.14634458  33.36481755 174.76726197   0.00294208  7.968  0.209   0.7773  0.0510  -0.5723  0.0365 -0.0447   1.038 10.236
AE____Tau            1  83.65272684  26.20240189 181.02383084  -3.51805253  3.692  0.119   0.2632  0.0929  -1.2392  0.0667 -0.1578   0.901  4.588
GT____Aur            1  84.11147739  44.59135508 165.69465288   6.68539340  7.379  0.260   0.3056  0.0729  -1.8898  0.0557 -0.0761 -25.419  5.028
V335__Aur            1  85.62191252  37.64633326 172.22668204   3.99588377  4.277  0.136   0.4004  0.0827  -1.1376  0.0614 -0.2638 -20.606  5.238
EF____Tau            0  85.88247835  19.42001790 187.88673447  -5.36330488  7.528  0.408  -0.7991  0.7166   1.1018  0.6144 -0.3570  22.708  8.846
GV____Aur            1  86.05833390  37.58686856 172.45831457   4.25982560  4.800  0.164  -0.0601  0.0811  -0.5780  0.0576 -0.0548  12.558  5.084
ST____Tau            1  86.26316892  13.57635212 193.12455627  -8.05150850  1.063  0.037   0.3499  0.0961  -2.2935  0.0765  0.0486  -9.138  1.286
EU____Tau            1  86.41887547  18.65688383 188.80609551  -5.32355916  1.100  0.036   1.2145  0.0850  -2.5133  0.0681 -0.1318  -3.672  2.743
AV____Tau            1  86.43715024  27.06789941 181.60970998  -0.94885531  3.103  0.084  -0.1549  0.0732  -1.3987  0.0588 -0.0694  24.842  7.976
V621__Aur            1  86.51885380  34.75779914 175.07495887   3.10941409  4.245  0.159   0.8856  0.1149  -0.7407  0.0966  0.3555  18.507  2.280
J086.5802+20.1439    1  86.58015996  20.14399590 187.60556675  -4.42700241  6.674  0.290   0.3079  0.0631  -0.5687  0.0545  0.1133  17.736 17.667
AX____Aur            1  86.71172985  31.59791190 177.86341761   1.60972801  4.232  0.096   0.1042  0.0787  -1.6162  0.0641  0.1676  18.839  5.700
V637__Aur            1  88.24494099  36.39365683 174.38279505   5.15148293  4.304  0.141   0.9168  0.0994  -1.4646  0.0747 -0.4253  18.926  3.921
V1819_Ori            1  88.61981291  12.53212810 195.19672020  -6.58975548  8.406  0.325   0.2380  0.0874  -0.3213  0.0721 -0.3091  36.685  6.379
J088.6434+31.9126    1  88.64348564  31.91262433 178.43247202   3.18255637  4.203  0.145   0.6490  0.0764   0.0662  0.0615 -0.2135 -18.935  5.728
CO____Aur            1  90.11877056  35.31215953 176.08236434   5.93542009  0.824  0.024  -1.2218  0.0821  -5.3206  0.0672  0.0973  13.913  4.262
J091.0777+30.4987    1  91.07773520  30.49876435 180.69609478   4.29216006  3.394  0.152  -0.0440  0.0855  -1.9741  0.0748 -0.2155  15.340  6.011
J091.3452+20.9456    1  91.34520756  20.94562912 189.15594723  -0.16656735  4.555  0.110   0.1975  0.1165   0.3390  0.0959 -0.0410  35.453  9.940
AS____Aur            1  91.35181877  28.78970091 182.30918282   3.66914595  4.309  0.136   0.1222  0.0922  -0.8985  0.0772 -0.2059  26.044  8.863
CR____Ori            1  91.43635027  13.23998943 195.93006570  -3.85005043  5.099  0.157   0.6951  0.0778   0.3168  0.0687  0.1263  35.444  8.450
J060722+0834.0       0  91.84177608   8.56680644 200.23142784  -5.75445911  3.787  0.125   4.1599  0.9139   5.1513  0.7434  0.0345  41.273  1.325
CS____Ori            1  91.85610834  11.15197636 197.96153603  -4.50056001  4.080  0.140   0.7598  0.0865   0.0785  0.0740 -0.3200  48.092  5.371
NSVS9734010          1  92.10836008  16.40267891 193.47644630  -1.74783519  6.111  0.200   0.1198  0.1266  -0.4304  0.1047 -0.1525  41.387  5.222
V371__Gem            1  92.58065472  24.02085105 187.02153001   2.32466239  3.088  0.095   0.5437  0.0708  -1.3977  0.0609 -0.4345  29.173  6.236
J061022+1438.6       1  92.59262271  14.64449510 195.24231075  -2.18865109  2.776  0.075   1.0397  0.0684  -2.5539  0.0591 -0.0231  49.951  2.906
CV____Ori            1  93.09151005  13.63659382 196.35953077  -2.24850094  3.876  0.143  -0.2296  0.0824  -0.8820  0.0683 -0.1405  25.479  7.456
OGLE-GD-CEP-0030     1  94.59548810  17.79850974 193.38988079   1.00740764  5.631  0.179   0.8592  0.0660  -0.5920  0.0610 -0.4044  21.320  5.239
J094.7322+07.7466    1  94.73219791   7.74661058 202.31700445  -3.62400179  5.625  0.273  -0.0899  0.0598  -0.5992  0.0585 -0.2725  73.383  7.457
SV____Mon            1  95.35960702   6.47015284 203.73927069  -3.67185480  2.427  0.079   0.5574  0.0950  -1.7880  0.0937 -0.1010  31.913  9.469
FT____Mon            1  95.40033020   4.07356860 205.88453630  -4.75262559  5.629  0.187  -0.2503  0.0626   0.3466  0.0632 -0.3022  52.172  6.133
OGLE-GD-CEP-0032     1  95.96418138  17.01317592 194.69762829   1.79050386  2.795  0.097   0.8862  0.0751  -1.7486  0.0686 -0.2900  32.548  7.707
DF____Ori            1  96.01727666  11.70883852 199.40978546  -0.64666174  5.101  0.123   0.0822  0.0932   0.2114  0.0747  0.2284  31.452  5.915
T_____Mon            0  96.30416899   7.08569769 203.63198856  -2.55508219  1.226  0.046   0.7687  0.1056  -3.1943  0.0890  0.1199  29.345 11.794
NSVS12485452         1  96.35879295   6.29286654 204.35986838  -2.87587185  6.762  0.245   0.0865  0.0549   0.0135  0.0506 -0.3767  52.720  3.363
OGLE-GD-CEP-0036     1  96.84545091   8.97334188 202.20977542  -1.20229967  4.410  0.121   0.5134  0.0530   0.4746  0.0475 -0.1034  68.702  3.949
V901__Mon            0  96.85520976   1.19225625 209.12252573  -4.79478311  3.545  0.119  -0.9673  0.1088 -18.1435  0.1000  0.3379   9.334  0.621
V966__Mon            1  96.89492711   9.83046100 201.47359229  -0.76044927  2.351  0.049  -0.0057  0.0751  -1.1587  0.0627  0.0354  57.437  2.976
RT____Aur            1  97.14203182  30.49297811 183.14639769   8.91568855  0.427  0.020  -0.4405  0.3623 -13.8965  0.3160 -0.0707  14.231  5.304
OGLE-GD-CEP-0038     1  97.16715124   7.64854269 203.53123832  -1.53569804  5.186  0.107   0.2457  0.0908   0.5044  0.0829 -0.0211  75.422 19.114
OGLE-GD-CEP-0039     1  97.23260883  11.12478731 200.48180020   0.13505685  3.778  0.089   0.2634  0.0616  -0.5510  0.0560 -0.1828  44.943  2.556
J062939-1840.5       0  97.41342545 -18.67407482 227.43562334 -13.06283914 23.637  1.240   0.0491  0.0792  -0.0954  0.0846 -0.5239 135.075  9.251
